City_norm,lon,lat
Podskalie,0,0
Zinnowitz,13.9083,54.0769
Duren,6.4920,50.8034
Leinfelden-Echterdingen,9.1500,48.6833
Aachen,6.0839,50.7753
Muenchen,11.5820,48.1351
Moenchengladbach,6.4470,51.1805
Minden,8.9207,52.2895
Zwickau,12.4943,50.7189
Toenning,8.9333,54.3167
Holzwickede,7.6167,51.5000
Klosterlechfeld,10.8333,48.2000
Augsburg,10.8978,48.3705
Rheine,7.4333,52.2833
Neu-Ulm,10.0000,48.3833
Hamburg,9.9937,53.5511
Trebgast,11.5833,50.0833
Michelfeld,9.7833,49.1000
Stralsund,13.0833,54.3000
Friedrichshafen,9.4667,47.6500
Burghausen,12.8333,48.1667
Meinerzhagen,7.6500,51.1167
Torgau,13.0000,51.5667
Coesfeld,7.1667,51.9500
Hartmannsdorf,12.8167,50.8667
Eisenberg,11.9000,50.9667
Delbrueck,8.5667,51.7667
Kempten,10.3167,47.7333
Castrop-Rauxel,7.3167,51.5500
Wuerzburg,9.9337,49.7913
Rust,7.7333,48.2667
Erfurt,11.0299,50.9848
Friedrichsdorf,8.4500,50.2667
Duesseldorf,6.7735,51.2277
Dortmund,7.4660,51.5136
Zeitz,12.1500,51.1500
Passau,13.4667,48.5667
Pullach im Isartal,11.5167,48.0500
Liederbach am Taunus,8.4833,50.1333
Groeditz,13.4500,51.3500
Uelzen,10.5667,52.9667
Aldenhoven,6.2833,50.9000
Lutherstadt Wittenberg,12.6500,51.8667
Bochum,7.2162,51.4818
Filderstadt,9.2167,48.6667
Menden,7.8000,51.4333
Fuerth,10.9887,49.4773
Nuernberg,11.0767,49.4521
Erkner,13.7500,52.4167
Kassel,9.4797,51.3127
Naumburg,11.8167,51.1500
Obernheim,8.8500,48.1833
Braunfels,8.3833,50.5167
Chemnitz,12.9253,50.8278
Regensburg,12.0950,49.0134
Dresden,13.7373,51.0504
Hoehenkirchen-Siegertsbrunn,11.7167,48.0167
Niederorschel,10.4333,51.3167
Wadgassen,6.7833,49.2833
Gueglingen,9.0667,49.0667
Ansbach,10.5833,49.3000
Leutershausen,10.4167,49.4167
Stuttgart,9.1829,48.7758
Schwerin,11.4167,53.6333
Hamm,7.8167,51.6833
Krefeld,6.5667,51.3333
Koeln,6.9603,50.9375
Allendorf,8.6667,50.9000
Euskirchen,6.7833,50.6667
Bueren,8.5667,51.5500
